t_ms,t_flight_s,loop_dt_us,state,imu_fault,rbf_pulled,batt_low,batt_critical,qb_w,qb_x,qb_y,qb_z,qg_w,qg_x,qg_y,qg_z,vote_disagree_deg,body_pitch_deg,body_yaw_deg,defl_pitch_deg,defl_yaw_deg,setp_pitch_deg,err_pitch_deg,err_yaw_deg,pid_p_pitch_deg,pid_i_pitch_deg,pid_d_pitch_deg,pid_p_yaw_deg,pid_i_yaw_deg,pid_d_yaw_deg,cmd_pitch_deg,cmd_yaw_deg,baro_alt_m,baro_temp_c,accel_g,batt_v,dropped_frames_cum
20,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.040,15.0,1.0,7.91,0
22,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.370,15.0,1.0,7.90,0
24,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.010,15.0,1.0,7.90,0
26,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.280,15.0,1.0,7.89,0
28,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.540,15.0,1.0,7.89,0
30,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.180,15.0,1.0,7.90,0
32,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.760,15.0,1.0,7.90,0
34,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.520,15.0,1.0,7.90,0
36,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.740,15.0,1.0,7.90,0
38,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.090,15.0,1.0,7.91,0
40,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.510,15.0,1.0,7.90,0
42,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.110,15.0,1.0,7.89,0
44,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.060,15.0,1.0,7.90,0
46,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.070,15.0,1.0,7.90,0
48,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-1.010,15.0,1.0,7.90,0
50,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.220,15.0,1.0,7.90,0
52,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.020,15.0,1.0,7.90,0
54,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.050,15.0,1.0,7.90,0
56,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.610,15.0,1.0,7.91,0
58,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.190,15.0,1.0,7.90,0
60,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.390,15.0,1.0,7.91,0
62,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.320,15.0,1.0,7.90,0
64,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.420,15.0,1.0,7.90,0
66,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.320,15.0,1.0,7.90,0
68,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.010,15.0,1.0,7.90,0
70,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.350,15.0,1.0,7.91,0
72,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.230,15.0,1.0,7.90,0
74,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.040,15.0,1.0,7.90,0
76,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.050,15.0,1.0,7.89,0
78,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.030,15.0,1.0,7.91,0
80,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.490,15.0,1.0,7.90,0
82,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.030,15.0,1.0,7.90,0
84,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.550,15.0,1.0,7.90,0
86,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.620,15.0,1.0,7.90,0
88,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.350,15.0,1.0,7.90,0
90,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.050,15.0,1.0,7.91,0
92,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.250,15.0,1.0,7.89,0
94,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.810,15.0,1.0,7.90,0
96,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.310,15.0,1.0,7.91,0
98,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.470,15.0,1.0,7.91,0
100,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.040,15.0,1.0,7.90,0
102,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.240,15.0,1.0,7.90,0
104,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.070,15.0,1.0,7.89,0
106,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.280,15.0,1.0,7.89,0
108,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.010,15.0,1.0,7.89,0
110,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.280,15.0,1.0,7.90,0
112,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.590,15.0,1.0,7.89,0
114,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.250,15.0,1.0,7.90,0
116,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.100,15.0,1.0,7.90,0
118,0.0000,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.170,15.0,1.0,7.90,0
120,0.0020,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.070,15.0,1.0,7.90,0
122,0.0040,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.450,15.0,1.0,7.90,0
124,0.0060,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.210,15.0,1.0,7.89,0
126,0.0080,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.050,15.0,1.0,7.90,0
128,0.0100,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.390,15.0,1.0,7.91,0
130,0.0120,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.490,15.0,1.0,7.90,0
132,0.0140,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.500,15.0,1.0,7.90,0
134,0.0160,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.280,15.0,1.0,7.90,0
136,0.0180,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.300,15.0,1.0,7.90,0
138,0.0200,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.760,15.0,1.0,7.90,0
140,0.0220,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.140,15.0,1.0,7.88,0
142,0.0240,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.010,15.0,1.0,7.89,0
144,0.0260,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.550,15.0,1.0,7.89,0
146,0.0280,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.330,15.0,1.0,7.90,0
148,0.0300,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.080,15.0,1.0,7.90,0
150,0.0320,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.090,15.0,1.0,7.91,0
152,0.0340,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.040,15.0,1.0,7.90,0
154,0.0360,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.670,15.0,1.0,7.90,0
156,0.0380,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.100,15.0,1.0,7.90,0
158,0.0400,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.050,15.0,1.0,7.91,0
160,0.0420,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.220,15.0,1.0,7.89,0
162,0.0440,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.030,15.0,1.0,7.90,0
164,0.0460,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.000,15.0,1.0,7.90,0
166,0.0480,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.360,15.0,1.0,7.90,0
168,0.0500,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.080,15.0,1.0,7.89,0
170,0.0520,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.080,15.0,1.0,7.90,0
172,0.0540,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.560,15.0,1.0,7.89,0
174,0.0560,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.360,15.0,1.0,7.90,0
176,0.0580,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.090,15.0,1.0,7.90,0
178,0.0600,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.380,15.0,1.0,7.89,0
180,0.0620,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.020,15.0,1.0,7.90,0
182,0.0640,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.540,15.0,1.0,7.90,0
184,0.0660,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.120,15.0,1.0,7.89,0
186,0.0680,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.360,15.0,1.0,7.90,0
188,0.0700,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.390,15.0,1.0,7.91,0
190,0.0720,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.270,15.0,1.0,7.90,0
192,0.0740,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.540,15.0,1.0,7.89,0
194,0.0760,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.670,15.0,1.0,7.89,0
196,0.0780,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.030,15.0,1.0,7.89,0
198,0.0800,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.210,15.0,1.0,7.89,0
200,0.0820,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.220,15.0,1.0,7.90,0
202,0.0840,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,1.060,15.0,1.0,7.90,0
204,0.0860,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.160,15.0,1.0,7.90,0
206,0.0880,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.080,15.0,1.0,7.90,0
208,0.0900,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.260,15.0,1.0,7.90,0
210,0.0920,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.380,15.0,1.0,7.90,0
212,0.0940,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.120,15.0,1.0,7.89,0
214,0.0960,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.110,15.0,1.0,7.89,0
216,0.0980,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.480,15.0,1.0,7.90,0
218,0.1000,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.410,15.0,1.0,7.89,0
220,0.1020,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.200,15.0,1.0,7.90,0
222,0.1040,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.190,15.0,1.0,7.90,0
224,0.1060,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.240,15.0,1.0,7.89,0
226,0.1080,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.190,15.0,1.0,7.90,0
228,0.1100,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.340,15.0,1.0,7.89,0
230,0.1120,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.100,15.0,1.0,7.90,0
232,0.1140,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.640,15.0,1.0,7.90,0
234,0.1160,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.330,15.0,1.0,7.91,0
236,0.1180,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.300,15.0,1.0,7.89,0
238,0.1200,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.030,15.0,1.0,7.89,0
240,0.1220,2000,2,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.230,15.0,1.0,7.89,0
